static_ID,page_name,favorites,block,Ads_count,block_date,Facebook_ID,insta_followers,instgram_ID,Page_likes,profile_pic,country
109337025257321,perfumesdecants,0,0,1,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.cdninstagram.com/v/t51.2885-15/306533673_464669162239737_2716491152915386811_n.jpg?stp=dst-jpg_s200x200&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=KA0KBeQmbK8AX-VaJCy&_nc_ht=scontent.cdninstagram.com&oh=00_AT8MlgzMv7l67cuYQd4iPDfpuM7NO41ssuP1wKpzBn_RKg&oe=63415849,ALL
112615831509126,Eternal Fragrances,0,0,96,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-4.fna.fbcdn.net/v/t39.35426-6/310745302_611651807364941_3976289001885818553_n.jpg?stp=dst-jpg_s60x60&_nc_cat=109&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=0gHOKlktnSEAX8GnYIZ&_nc_ht=scontent.fcai21-4.fna&oh=00_AT_ynVLxbZfB2tRK3mFGNMpP6Vr7McyiW8nMqXvJ40NyxA&oe=6342E830,ALL
529535114079683,LAWA Perfume,0,0,15,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-4.fna.fbcdn.net/v/t39.35426-6/311147824_1516386318822012_3391361108394709557_n.jpg?stp=dst-jpg_s60x60&_nc_cat=103&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=7_fd0DDoGOwAX94pZvn&_nc_ht=scontent.fcai21-4.fna&oh=00_AT-YSrS6k-H0UTonMxH7ZundlB1r9is3pY1gGj3mjCg9Yw&oe=63447FF1,ALL
200651580033,Adolfo Dominguez,0,0,31,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-3.fna.fbcdn.net/v/t39.35426-6/310263674_798196774762313_95618026758941027_n.jpg?stp=dst-jpg_s60x60&_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=hqwHMfgoW_kAX_8dfxb&_nc_ht=scontent.fcai21-3.fna&oh=00_AT_LZRvKb8wYx-fXpKC3vGS0YQI765z3uW7TflA8xMSFwQ&oe=6341A20F,ALL
319299065327565,Flor de Íris - Aqui tem Natura,0,0,1,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-4.fna.fbcdn.net/v/t39.35426-6/310255864_440699741461757_2524368866669758905_n.jpg?stp=dst-jpg_s60x60&_nc_cat=101&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=xU1Whsd07McAX9NfGD3&_nc_ht=scontent.fcai21-4.fna&oh=00_AT9ogYEGarba9Vu6451nnsnDcG3kDvKrJoVbdNSZAiRl4A&oe=6341C082,ALL
785929878437116,Maisa Espaço de Beleza,0,0,3,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-4.fna.fbcdn.net/v/t39.35426-6/309277015_415789614072641_2405935014190446401_n.jpg?stp=dst-jpg_s60x60&_nc_cat=111&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=7svZOSNY8bUAX-wFIOf&tn=rI3k6TAasiqplOoy&_nc_ht=scontent.fcai21-4.fna&oh=00_AT9oF2Qp8Ts4J8lLZtnER2jrt6mSi-uLQ2aPujnkYc1u1g&oe=6340C78D,ALL
106298662256105,Junior no bras,0,0,4,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-4.fna.fbcdn.net/v/t39.35426-6/310581073_872942467021915_1146518668084248113_n.jpg?stp=dst-jpg_s60x60&_nc_cat=109&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=XZLH-ngk6xoAX-akTUS&_nc_oc=AQkjGrGBXyG0mcKBa3CFW32xwKiulFPVlL_rJS0NU_x0XtcLGrNiW4fj7p16Nws447A&_nc_ht=scontent.fcai21-4.fna&oh=00_AT8Lu9BT4cnoDQBuHJSbWTb5kO_PsCvBjFSsNWpGqW_nNQ&oe=6340BF1F,ALL
1107898809383275,Trentinn modas,0,0,1,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-3.fna.fbcdn.net/v/t39.35426-6/310984680_651892159980635_7786705640812278419_n.jpg?stp=dst-jpg_s60x60&_nc_cat=100&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=wUpJFJl3yb0AX81aoDd&_nc_ht=scontent.fcai21-3.fna&oh=00_AT8rhfyYPr6t0qr7z8LPpUi4BcOoK0zvUHb297Sj68AzqA&oe=6345EDE8,ALL
107739574486590,Amber Scott,0,0,1,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-3.fna.fbcdn.net/v/t39.35426-6/307486103_653555869591547_2018710382631582634_n.jpg?stp=dst-jpg_s60x60&_nc_cat=105&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=7hRIvW2pwl8AX_jh8fR&_nc_ht=scontent.fcai21-3.fna&oh=00_AT_b07AHY_BtP9Jn2OeLjqhuInKODZxnZ6l8JzKMKLXrdw&oe=63412901,ALL
101816289217852,Descobertas de Ofertas,0,0,11,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-4.fna.fbcdn.net/v/t39.35426-6/310550637_2696682283797301_6187864697587899287_n.jpg?stp=dst-jpg_s60x60&_nc_cat=109&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=O0QgHtv_UcUAX8GvGBM&_nc_ht=scontent.fcai21-4.fna&oh=00_AT-EK7WTxeHdIZ_v6zxkGotw4k-dKLa-Y9PpnanaC49IAw&oe=63446565,ALL
